s1,rep,model,device,policy,tau,LB,gap_pct,batches,U_tot,peak_resident,validate_s
0.75,1,Qwen3-4B-FP8,L40S-48GB,task,52.23310636373986,52.23310636373985,1.3603302296670564e-14,10,5197661,562846.0,0.05
0.75,1,Qwen3-4B-FP8,L40S-48GB,pipe,38.51129821323979,38.49997580805728,0.029408863109316084,12,3840291,562875.0,0.05
0.75,1,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.07
0.75,1,Qwen3-32B-FP8,H100-SXM-80GB,task,165.75896290803325,165.75896290803323,1.7146408816621884e-14,16,5207648,339491.0,0.05
0.75,1,Qwen3-32B-FP8,H100-SXM-80GB,pipe,122.13117631702116,122.13117631702114,1.1635730649407876e-14,19,3840841,339503.0,0.06
0.75,1,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.75,1,Qwen3-32B-FP8,L40S-48GB,task,447.62807209181557,447.6280720918156,-1.2698805639059324e-14,56,5209002,95367.0,0.08
0.75,1,Qwen3-32B-FP8,L40S-48GB,pipe,330.0789265223251,330.07851816927587,0.00012371391252690147,65,3844841,95366.0,0.1
0.75,1,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.9,0,Qwen3-4B-FP8,H100-SXM-80GB,task,21.004765510415393,21.004765510415393,0.0,6,5643202,996892.0,0.05
0.9,0,Qwen3-4B-FP8,H100-SXM-80GB,pipe,14.545865076944873,14.542232879612119,0.024976888781959167,8,3915891,996878.0,0.08
0.9,0,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.05
0.9,0,Qwen3-4B-FP8,L40S-48GB,task,56.631772802074536,56.63177280207454,-1.2546715396733465e-14,11,5635625,562846.0,0.05
0.9,0,Qwen3-4B-FP8,L40S-48GB,pipe,39.31847807976438,39.26666157460571,0.13196055656582642,13,3916391,562877.0,0.09
0.9,0,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.05
0.9,0,Qwen3-32B-FP8,H100-SXM-80GB,task,179.13631991045096,179.13631991045096,0.0,17,5628211,339491.0,0.06
0.9,0,Qwen3-32B-FP8,H100-SXM-80GB,pipe,124.51716150261548,124.51716150261548,0.0,20,3915741,339497.0,0.07
0.9,0,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.9,0,Qwen3-32B-FP8,L40S-48GB,task,485.88101305155953,485.88101305155965,-2.3398081972293916e-14,61,5654160,95367.0,0.09
0.9,0,Qwen3-32B-FP8,L40S-48GB,pipe,336.44806048447555,336.44718873588545,0.00025910413856497646,70,3918841,95364.0,0.1
0.9,0,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.9,1,Qwen3-4B-FP8,H100-SXM-80GB,task,20.950240538476013,20.950240538476013,0.0,6,5628731,996848.0,0.05
0.9,1,Qwen3-4B-FP8,H100-SXM-80GB,pipe,14.54100082095014,14.537642270329856,0.023102443696379395,8,3914691,996885.0,0.09
0.9,1,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.05
0.9,1,Qwen3-4B-FP8,L40S-48GB,task,56.677078907572906,56.677078907572906,0.0,11,5640027,562867.0,0.05
0.9,1,Qwen3-4B-FP8,L40S-48GB,pipe,39.31500153752064,39.260440624987154,0.1389717274307843,13,3915741,562845.0,0.06
0.9,1,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.07
0.9,1,Qwen3-32B-FP8,H100-SXM-80GB,task,179.54656577998168,179.5465657799817,-1.5829714874765288e-14,17,5640908,339488.0,0.06
0.9,1,Qwen3-32B-FP8,H100-SXM-80GB,pipe,124.5067889204354,124.50678892043538,1.1413718752543915e-14,20,3915391,339508.0,0.07
0.9,1,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.9,1,Qwen3-32B-FP8,L40S-48GB,task,484.23054398691147,484.2305439869115,-1.1738916424558393e-14,61,5634879,95367.0,0.09
0.9,1,Qwen3-32B-FP8,L40S-48GB,pipe,336.10419133225724,336.1036202926527,0.00016989986720592263,70,3914841,95358.0,0.1
0.9,1,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
